sentence1,label
"HAVA Countertop Dishwasher, 6 Programs Portable Dishwashers with 5L Built-in Water Tank, No Hookup Needed, Baby Care & Air-Drying Function for Apartments and RVs",#Others#
"HAVA Countertop Dishwasher, 2024 NEW Upgraded Model, 8 Wash Programs Portable Dishwasher with Child Lock & Delayed Start Function, 5L Water Tank for Apartments, Dorms, and RVs - No Hookup Needed White",#Others#
"COMFEE' Portable Dishwasher Countertop with 5L Built-in Water Tank, No Hookup Needed, 6 Programs, 360° Dual Spray, 192℉ High-Temp& Air-Dry Function, Mini Dishwasher for RVs, White Minilite-White",#Others#
"COMFEE' Countertop Dishwasher, Portable Dishwasher with 6L Built-in Water Tank, Mini Dishwasher with More Space Inside, 7 Programs, UV Hygiene& Auto Door Open, for Apartments, Dorms& RVs, White",#Others#
"Portable Countertop Dishwashers, Compact Dishwashers with 5 L Built-in Water Tank & Inlet Hose, 5 Washing Programs, Baby Care, Air-Dry Function and LED Light for Small Apartments",#Others#
"Farberware Compact 6-Place Setting Dishwasher - Portable Mini Countertop Dishwasher with 7 Wash Programs - Perfect for Small Spaces Like Apartment, Dorm, Boat, Camper/RV",#Others#
"Waste King 3/4 HP Garbage Disposal with Power Cord, Food Waste Disposer for Kitchen Sink, L-3200 3/4 HP - Continuous Feed Disposal Only 8 Year Warranty",Appliances > Garbage Disposals & Compactors > Garbage Disposals
"InSinkErator Evolution SpaceSaver XP Non-corded 3/4-HP Continuous Feed Noise Insulation Garbage Disposal, Black",Appliances > Garbage Disposals & Compactors > Garbage Disposals
Frigidaire 1.25 HP Corded Garbage Disposal for Kitchen Sinks | FF13DISPC1,Appliances > Garbage Disposals & Compactors > Garbage Disposals
Continuous Feed Garbage Disposer Air Switch,Appliances > Garbage Disposals & Compactors > Garbage Disposals
"Eco Logic 10-US-EL-9-3B 3/4 Horsepower Garbage Disposal with Removeable Splash Guard, Attached Power Cord and Standard 3-Bolt Mounting System, Continuous Feed, Black",Appliances > Garbage Disposals & Compactors > Garbage Disposals
"InSinkErator EVO CVR CNTRL Evolution Cover Control 3/4 HP, Advanced Series EZ Connect Batch Feed Food Waste Garbage Disposal, No Size, Gray",Appliances > Garbage Disposals & Compactors > Garbage Disposals
